tr	ota
çabük-hıraman	چابك خرامان
yüzey şekilleri	يوزي شكللري
göküyük	گوك اويوك
bulamak	بولامق
gelincikgiller	گلينجكگيللر
zikare	ذكاره
mürüvveten	مروتًا
bozgun	بوزغون
katmerleşme	قاتمرلشمه
gelenekleşmek	گله نكلشمك
karıntası	قارين طاسي
ceneb	جنب
agreman	آغرمان
muhadde	محده
ezeliyet	ازليت
harf-i mesruri	حرف مسروري
yatırım yapmak	ياتيريم ياپمق
hüsn-i talil	حسن تعليل
gabeş	غبش
ikaz etmek	ايقاظ ايتمك
mevacid	مواجد
civanan	جوانان
dide-ban-ı felek	ديده بان فلك
heyz	هيض
eşhar	اشخار
tuşlamak	طوشلامق
inamat	انعامات
ahşam	احشام
zab	ضبع
nevpeyda	نوپيدا
meşim	مشيم
jende	ژنده
ördekgiller	أوردكگيللر
ofris	اوفريس
belgin	بلگين
toprak	طوپراق
pil-zur	پيل زور
kolacılık	قوله جيلق
bürehne-gi	برهنگي
yüz binlik	يوز بيڭلك
bol	بول
şımarıkça	شيماريقجه
bestak	بستق
tenfiz	تنفيض
partizan	پارتيزان
suskunlaşmak	صوصقونلاشمق
batırılma	باتيريلمه 
muvazin	موازن
sehlül-mehaz	سهل المأخذ
armudan	آرمودن
islav	ايسلاو
yalınlaşmak	يالينلاشمق
ecred	اجرد
beleh	بله
tanzid	تنضيد
tezelluk	تزلق
ıtk-ı baz	عتق بعض
heykeltıraşlık	هيكلتراشلق
polonyum	پولونيوم
tenattuf	تنطف
birlik olmak	برلك اولمق
çakırkeyf	چاقير كيف
ekseriyet-i mutlaka	اكثريت مطلقه
sindirim sistemi	سيڭديريم سيستمي
vekillik etmek	وكيللك ايتمك
fert	فرد
cemain-i evvel	جماعين اول
ez-kadim	از قديم
hayia	هايعه
nat	نطع
ovacık	اووه جق
tezlik eylemi	تيزلك أيلمي
yüzlemek	يوزله مك
dönüşlü	دونوشلي
siyatik	سيياتيك
kul cinsi	قول جنسي
muravaza	مراوضه
hırçınlık etmek	خيرچينلق ايتمك
asfiya-yı muhakkikin	اصفياي محققين
nüüti	نؤتي
efal	افعال
hilkatıye	خلقتيه
mermerleşmek	مرمرلشمك
serptirme	سرپديرمه
hapçı	حبجي
tuvan	توان
kadah	قدخ
redd-i hakim	رد حاكم
davas	طاواس
yatırılma	ياتيريلمه 
tenekecilik	تنه كه جيلك
fatiha-i kelam	فاتحۀ كلام
ind	عند
şefn	شفن
müks	مكث
komedyen	قومدين
polemikçi	پوله ميكجي
psikasteni	پسيقاسته ني
özümsenmek	أوزومسنمك
muziplik	معذبلك
derbend-i kebir	دربند كبير
yurdaer	يورده أر
edeplenme	ادبلنمه
müşevviş	مشوش
sarir-i hame	صرير خامه
div-beçe	ديو بچه
temel çivisi	تمل چيويسي
solaklık	صولاقلق
merzuk	مرزوق
busan	بوسان
ebu tayyib el-mütenebbi	ابو طيب المتنبي
seracı	سره جي
ırksal	عرقسال
yarım adam	ياريم آدم
aştırma	آشديرمه 
bunayış	بوڭاييش
brüksel lahanası	بروكسل لاخنه سي
tereffuk	ترفق
mebtun	مبطون
genda	گندا
bağlayış	باغلاييش
nadide	ناديده
tedmis	تدميث
kema	كما
isim gövdesi	اسم گوگده سي
nebv	نبو
dilalet	دلالت
karlanmak	قارلانمق
ayet	آيت
esnekleştirme	اسنكلشديرمه
edmu	ادمع
mübadele	مبادله
zincirleme tepkime	زنجيرله مه تپكيمه
amit	عميت
harem-seray	حرمسراي
yevm-i nüşur	يوم نشور
şahetil-vücuh	شاهت الوجوه
mishelan	مسحلان
fenin	فنين
toksikoman	طوقسيقومان
dedektif	ددكتيف
zail	زائل
avlanmak	آولانمق
kurtluca	قورتليجه
evfer	اوفر
tahaşşu	تخشع
muli	مولع
vechül-arz	وجه الارض
kilitlemek	كليدله مك
habna	حبنا
meruben	مرعوبًا
yüzden	يوزدن
silahsızlandırma	سلاحسزلانديرمه 
vellas	ولاس
bulanıkça	بولانيقجه
melhub	ملهوب
göstertme	گوسترتمه
bekitme	بكيتمه
romancılık	رومانجيلق
kasıtsız	قصدسز
sığıştırma	صيغيشديرمه 
safra yeşili	صفرا يشيلي
bertiz	برتيز
çiziktirme	چيزيكديرمه
kümun	كمون
ıkındırma	ايقينديرمه 
muayeşe	معايشه
biçki yapmak	بيچكي ياپمق
nisti	نيستي
şifahi	شفاهي
temeddüd	تمدد
tesvil	تسويل
filizlenmek	فيليزلنمك
pür-dil	پردل
nahb	نخب
itbal	اتبال
karabahçe	قره باغچه
ıraklaşma	ايراقلاشمه 
ard-biz	آرد بيز
ballanma	باللانمه 
demar-aver	دمار آور
besmele	بسمله
gabrova	غبروه
unat	عنات
muharrak	محرق
iftirar	افترار
bikarar	بي قرار
su askıları	صو آصقيلري
dil-düzd	دلدزد
mükam	مكام
sergerm	سرگرم
budalalık etmek	بودالالق ايتمك
bukkari	بقاري
iki üç	ايكي اوچ
kasa-lis	قصعه ليس
neşt	نشط
zevzeklik	زوزكلك
anlama	آڭلامه 
lokanta	لوقانطه
içeri	ايچري
sebilullah	سبيل اللّٰه
zavil	زاول
iğde	ايگده
düzenlenme	دوزنلنمه
barid	بارد
kernaf	كرناف
lazi	لاظي
lakonik	لاقونيك
gerileyici	گريله ييجي
hablül-mesakin	حبل المساكين
gayya	غيا
vatikan	واتيقان
gümbürdetmek	گومبوردتمك
eş yapım	اش ياپيم
kabkaba	قبقبه
havb	حوب
feseka	فسقه
hocalık	خواجه لق
tahkiki	تحقيقي
komünistlik	قومونيستلك
silecek	سيله جك
münye	منيه
şıhdadan	شيخدادان
meyve içi	ميوه ايچي
çırçır	چرچر
üslupçu	اسلوبجي
derli toplu	درلي طوپلي
vegf	وغف
bagbaga	بغبغه
bıngıldamak	بينغيلدامق
imrenilmek	ايمرنيلمك
değişiklik	دگيشيكلك
tuffaha	تفاحه
bükm	بكم
çivitlemek	چيويتله مك
aymutlu	آي موتلو
mürazaha	مراضحه
na	نا
sarılma	صاريلمه 
mevecat	موجات
dervaze-i nuş	دروازۀ نوش
ılıştırma	ايليشديرمه 
zukl	زقل
mütearris	متعرس
layenbagi	لاينبغي
mühevan	مهوان
toplu	طوپلي
zevalsiz	زوالسز
alt tabaka	آلت طبقه
katman bulut	قاتمان بلوط
mütevacihen	متواجهًا
tubba	تبع
hint gergedanı	هند گرگدني
maal-cemaa	مع الجماعه
hepsi	هپسي
mütebessimane	متبسمانه
rusya federasyonu	روسيه فده راسيوني 
tosbağa	طوسباغه
hüzn-alud	حزن آلود
tuluatçılık	طلوعاتجيلق
kangren olmak	قانغرن اولمق
hükm-i gıyabi	حكم غيابي
kesici	كسيجي
mekteb-i sanayi	مكتب صنايع
soğukkanlılık	صوغوق قانليلق
tahriş etmek	تخريش ايتمك
yedek lastik	يدك لاستيك
zaç	زاج
özgül	أوز گول
akseptans	آقسپتانس
nun suresi	ن سوره سي
mürcia	مرجعه
ehliyet	اهليت
guzr	غزر
davahi	ضواحي
haye	خايه
yanmak	يانمق
mecid	مجيد
zehr-avan	زهر آوان
zigot	زيغوت
tezehhüd	تزهد
yasalaştırmak	ياسالاشديرمق
fuhul	فحول
ersiz	ارسز
süraka	سراقه 
ferahlık	فراخلق
nasip	نصيب
mudhike	مضحكه
elvermek	الويرمك
mütedelli	متدلي
taha	طها
zahm-res	زخمرس
tanınmak	طانينمق
gaip	غائب
pastel	پاستل
iskelet	ايسكه لت
enbiya suresi	انبيا سوره سي
mekfuf	مكفوف
belirtisiz tamlama	بليرتيسز تاملامه
meh-pare	مهپاره
yassılmak	ياصسيلمق
sepilenmek	سپيلنمك
akras	اقراص
ebkem ü lal	ابكم و لال
nakş-bendi	نقشبندي
arılık	آريلق
neticelenmek	نتيجه لنمك
lükkah	لقاح
tıpırdatma	طيپيرداتمه 
mevadd-ı zülaliye	مواد زلاليه
bazık	باذق
kar-hane	كارخانه
mimtar	ممطر
kamile	كامله
hasep	حسب
merci-i rüyet	مرجع رؤيت
art avurt ünsüzü	آرت آوورت أوڭسزي
gülreng	گل رنگ
tefhim	تفخيم
hisse-mend	حصه مند
hüceyrat	حجيرات
kılaa	قلاعه
muhıkkane	محقانه
bileştirmek	بيلشديرمك
münataha	مناطحه
melhud	ملحود
ilmiye	علميه
mefluk	مفلوك
tasallut etmek	تسلط ايتمك
göreneksizlik	گوره نكسزلك
nicar	نجار
ululamak	اولولامق
yerine	يرينه
celle celalühu	جل جلاله
hütaf	هتاف
fışkılamak	فيشقيلامق
galeta unu	غاله طه اوني
mahdud	مخضوض
tenassur	تنصر
hafiflik	خفيفلك
komisyon	قوميسيون
istikad	استيقاد
ülüban	العبان
mülahazat	ملاحظات
mebadi	مبادي
hiddet-i seyf	حدت سيف
tesennüh	تسنه
ettirmek	ايتديرمك
huh	خوخ
tefattun	تفطن
acınma	آجينمه 
gerdirilme	گرديريلمه
harşuf	حرشوف
masari	مصارع
serheng	سرهنگ
lühmum	لهموم
buket	بوكت
tuh	توه
iç çokgen	ايچ چوقگن
çerkeşiye	چركشيه
muhkemat-ı kuraniye	محكمات قرآنيه
darmaduman etmek	طارمه دومان ايتمك
şarif	شارف
binek taşı	بينك طاشي
çatlaklık	چاتلاقلق
ibtias	ابتعاث
refet-meab	رأفت مآب
rakime	رقيمه
övez	أوگز
muttasıf	مطصف
dihliz	دهليز
hududname	حدودنامه
teşric	تشريج
sıyag	صياغ
vitir	وتر
peyderpey	پيدرپي
rism	رثم
hüseyni-rehavi	حسيني رهاوي
hassasiyet	حساسيت
mesavi	مثاوي
tahasüb	تحاسب
tatlımsı	طاتليمسي
taraftarlık	طرفدارلق
zat-ı ali	ذات عالي
ictizal	اجتذال
çılgınlaşmak	چيلغينلاشمق
lakelam	لاكلام
eli açık	الي آچيق
dendene	دندنه
kuteh-bal	كوته بال
uyuz sineği	اويوز سينگي
leşker-gah	لشكرگاه
akademik	آقاده ميك
beyt-i murassa	بيت مرصع
harpüşte	خرپشته
edmas	ادمص
maar	معار
gazsız	غازسز
kardiyopati	قاردييوپاتي
futur	فطور
birader	برادر
arki	عركي
kozmogonik	قوزموغونيك
vala-kadr	والاقدر
yüzük parmağı	يوزوك پارماغي
evb	اوب
mefruzül-eda	مفروض الادا
nedh	ندح
vahşet-gah	وحشتگاه
miyavlamak	ميياولامق
carim	جارم
aylamak	آيلامق
sıbga	صبغه
uzma	عظما 
bağdalamak	باغدالامق
hemazi	همازي
namzetlik	نامزدلك
burçlar kuşağı	برجلر قوشاغي
münakere	مناكره
tanılama	طانيلامه 
eflaniborlu	افلاني بورلي
delinmek	دلينمك
sekizinci	سكزنجي
karidesçi	قاريدسجي
maltepe	مالتپه
çoban merhemi	چوبان مرهمي
giyme	گييمه
tasaru	تصارع
hefafe	هفافه
temşir	تمشير
uyaksız	اوياقسز
micenn	مجن
ticaret kanunu	تجارت قانوني
kamış kalem	قاميش قلم
alel-acaib	علي العجائب
dilferah	دل فراح
sızdırılmak	صيزديريلمق
masmavi	ماس ماوي
hayrulhalef	خير الخلف
kırışık	قيريشيق
ihaleten	احالةً
ceberut	جبروت
inkıyad	انقياد
azaim	عزائم
torik	توريك
dramatize etmek	درامه تيزه ايتمك
alaik	علائق
gulaz	غلاظ
mukassa	مقاصه
endişe	انديشه
kılıç	قيليچ
bröve	برووه
müteazzımane	متعظمانه
bihima	بهما
kalcı	قالجي
fizan	فزان
diftonglaşma	ديفتونغلاشمه 
vatan-perverlik	وطنپرورلك
donra	طوڭره
gaz sayacı	غاز صاياجي
ism-i cins	اسم جنس
kuh-nümun	كوهنمون
koşuntu	قوشونتي
katib-i adl	كاتب عدل
kadıl-hacat	قاضي الحاجات
estetikçi	استه تيكجي
ahir	اخير
darimi	دارمي
kurban bayramı	قربان بايرامي
geniş açı	گڭيش آچي
çarlık	چارلق
toparlak rakam	طوپارلاق رقم
minare boyu	مناره بويي
sagıye	ثاغيه
çelebice	چلبيجه
asbar	آصبار
şahne	شحنه
kaberi	قعبري
ahlama	آهلامه 
payzar	پايزار
megavatlık	مغه واتلق
hükumet kapısı	حكومت قاپيسي
haraib	حرائب
udlul	اضلول
deman-keş	دمانكش
bina-yı mechul	بناي مجهول
göz yuvası	گوز يووه سي
başarılmak	باشاريلمق
nadh	نضح
üvez	أوگز
gücük	گوجوك
doldurtma	طولديرتمه 
üfürükçü	أوفوروكجي
bekir	بكر
kühbe	كهبه
maakka	معقه
üretim ilişkileri	أورتيم ايليشكيلري
mücadea	مجادعه
binilme	بينيلمه
çaprazlık	چاپرازلق
tahayyüz	تحيز
vızvız böceği	ويز ويز بوجگي
yumdurmak	يومديرمق
apreli	آپره لي
miralaylık	مرآلايلق
salahat	صلاحت
paraka	پاراقه
kaziye-i bedihiye-i fıtriye	قضيۀ بديهيۀ فطريه
mersin morinası	مرسين مورينه سي
yüzsüzleştirmek	يوزسزلشديرمك
ercüze	ارجوزه
moskof gavuru	مسقو گاوري
biyosfer	بييوسفر
eşek maydanozu	اشك مايدانوزي
terhis edilmek	ترخيص ايديلمك
makbule	مقبوله
mahizer	ماهي زر
muğayyir	مغير
müesseseleşmek	مؤسسه لشمك
selasun	ثلاثون
ebhur	ابحر
na-meysur	ناميسور
sanat okulu	صنعت اوقولي
hatt-ı mücanib	خط مجانب
güçlükle	گوچلكله
yasama dokunulmazlığı	ياسامه طوقونولمازلغي
muhadda	مخدع
gürültüsüz	گورولتيسز
ahidleşme	عهدلشمه
morihova	موريخوه
taaruz	تعارض
kefi	كفي
hemanend	همانند
bidanet	بدانت
kehd	كهد
hububat	حبوبات
değişimli ünsüzler	دگيشيملي أوڭسزلر
maksee	مقثأه
kıtırdatmak	قيتيرداتمق
cevaril-künnes	جوار الكنس
öte	أوته
kafile-salar	قافله سالار
fent	فند
baştan aşağı	باشدن آشاغي
muafiyet	معافيت
üslub-ı müzeyyen	اسلوب مزين
kuşkulu	قوشقولي
fışır fışır	فيشير فيشير
peyam	پيام
münteha-yı hiçi	منتهاي هيچي
paçasız	پاچه سز
niyazi-i mısri	نيازئ مصري 
kürneme	كورنه مه
hulefa-yı aklam	خلفاي اقلام
mağribi	مغربي
gaful	غفول
yabanilik	يبانيلك
genc-i nihan	گنج نهان
subh	صبح
bil	بيل
hamil	حامل
fol	فول
son ses	صوڭ سس
sarf u nahiv	صرف و نحو
dışınlı	طيشينلي
burgos	بورغوس
neşeb	نشب
tavin	تعوين
binnur	بيڭ نور
adlı	آدلي
ayıkulağı	آيي قولاغي
marrin	مارين
lütuf-kar	لطفكار
bakıcılık	باقيجيلق
kir	قير
kurban eti	قربان اتي
münecci	منجي
mündell	مندل
muhdis	محدث
yalman	يالمان
kabiliyet	قابليت
çizikli	چيزيكلي
janjanlı	ژانژانلي
mutarede	مطارده
tecerrüd	تجرد
köy odası	كوي اوطه سي
akret	عقرت
çavdarlı	چاودارلي
abandone	آبانطونه
kız böcekleri	قيز بوجكلري
celala	جلعلع
kılış	قيليش
kardeş okul	قرداش اوقول
çikolatacılık	چيقولاته جيلق
ağızlamak	آغيزلامق
yübuset	يبوست
nikuyi	نيكويي
hem-huy	همخوي
bedbinleşme	بدبينلشمه
muattıl	معطل
mahur-buselik	ماهور بوسليك
müsük	مسك
sakalan	ثقلان
işar	اشعار
gün yayı	گون يايي
nakliyecilik	نقليه جيلك
zer-nişan	زرنشان
yuf	يوف
körü körüne	كوري كورينه
acı balık	آجي باليق
dertlilik	دردليلك
noksanlık	نقصانلق
şihar	شحار
çavele	چاوله
felahiye	فلاحيه
tokmakbaş	طوقماق باش
cezbetmek	جذب ايتمك
zemel	زمل
tefvim	تفويم
mesuf	مأسوف
aksi	عكسي
şükür	شكر
disiplin	ديسيپلين
siyahlaşmak	سياهلاشمق
etlik	اتلك
hava kanalı	هوا قنالي
vahdetül-vücud	وحدت الوجود
galib	غالب
taşıyıcı	طاشييجي
müezzer	مؤزر
alet olmak	آلت اولمق
müstenki	مستنقي
küfelik olmak	كوفه لك اولمق
laha	لاخه
kinne	كنه
lakoz	لاقوز
bozgeven	بوز گون
frenk-vari	فرنكواري
riyaziyat	رياضيات
necisül-ayn	نجيس العين
akyurt	آق يورت
sofuluk	صوفيلق
adeten	عادتًا
sib	سبع
yunanistanlı	يونانستانلي
yüksek sosyete	يوكسك صوسيه ته
sükun-i dem	سكون دم
şeflik	شفلك
teyettün	تيتن
kerefs	كرفس
zahm-hurde	زخم خورده
becet	بجت
kutlayış	قوتلاييش
nevah	نواح
dü-vüm	دوم
mekancı	مكانجي
decv	دجو
kemikleştirmek	كميكلشديرمك
mücessem	مجسم
güvenlik	گوگنلك
totemizm	طوتميزم
somun	صومون
serafil	سرافيل
nar-denk	ناردنك
sayyihani	صيحاني
çeviri	چويري
vahy	وحي
arazi-i mübareke	اراضئ مباركه
lebeb	لبب
taazzüz	تعزز
topluluk sayısı	طوپليلق صاييسي
nakıf	ناقف
kün-feyekün	كن فيكون
gülnihal	گل نهال
mucip olmak	موجب اولمق
sarnıç gemisi	صارنيچ گميسي
mahe	ماهه
ersah	ارسح
zabb	ضب
haziran	حزيران
meşdud	مشدود
mücellef	مجلف
dahili harp	داخلي حرب
hem-reng	همرنگ
ekmelane	اكملانه
aydınalp	آيدين آلپ
tesrikat	تسريقات
gün yapmak	گون ياپمق
şasif	شاصف
bi-can	بي جان
husare	حثاره
radıyallahü anha	رضي اللّٰه عنها
muhtasaran	مختصرًا
görgü kuralları	گورگو قوراللري
arka müziği	آرقه موزيگي
zorbaz	زورباز
vaize	واعظه
helme	هليمه
müstenire	مستنيره
müsayefe	مسايفه
adli yıl	عدلي ييل
burkat	برقات
kuyudat	قيودات
falso	فالصو
şekerleme	شكرله مه
mefatihül-gayb	مفاتيح الغيب
arakçılık	آراقجيلق
müsennede	مسنده
hark	حرق
merahil-i baide	مراحل بعيده
iddialaşma	ادعالاشمه 
asiya	آسيا
vekalet-penah	وكالتپناه
takrirat	تقريرات
matlubat	مطلوبات
peçeleme	پچه له مه
besaret	بصارت
şükuf	شكوف
müteazzım	متعظم
larpadak	لارپه داق
gözeneklilik	گوزه نكليلك
akar	عقر
felek-zede	فلكزده
gayr-i mezru	غير مزروع
eristik	اريستيك
sıkça	صيقجه
taklip	تقليب
mürtehil	مرتحل
tebliğat	تبليغات
müstaciben	مستعجبًا
görüngücülük	گورونگوجيلك
suadi	سعادي
mihrat	مخراط
hufre	خفره
vehhac	وهاج
gölgelendirme	گولگه لنديرمه
lahayr	لا خير
bocurgat	بوجورغات
bekilli	بكيللي
nabigatüz-zübyani	نابغة الزبياني
tensif	تنصيف
husul-pezir	حصولپذير
rağbet	رغبت
mütehamiyane	متحاميانه
yalandan	يالاندن
gavaş	غواش
mevacib	مواجب
ebul-hasib	ابو الخصيب
kulaklık	قولاقلق
pulur	پلور
tatmin olmak	تطمين اولمق
bilbedahe	بالبداهه
boalar	بوآلر
dalgıç	طالغيچ
eskil	اسكيل
rahman	رحمن
koru	قوري
hazırlatma	حاضرلاتمه 
kelal-i dil	كلال دل
kibirli	كبرلي
saltanat	سلطنت
madih	مادخ
toparlak	طوپارلاق
üşengeçlik	أوشنگچلك
gevşetmek	گوشتمك
ahkemül-hakimin	احكم الحاكمين
rufeyde	رفيده
acentelik	آجنته لك
siraceddin	سراج الدين
nühame	نهامه
musalehun anh	مصالحٌ عنه
aker	عكر
nims	نمس
sene-i miladiye	سنۀ ميلاديه
kuruh	قروح
düşünsel	دوشونسل
bücriyye	بجريه
yumrucuk	يومروجق
varis	وارث
vasıf	واصف
güney	گوني
zemare	زماره
hess	هص
karşıtlamak	قارشيتلامق
büzgü	بوزگو
ilerlemek	ايلرله مك
keşif	كشف
rukba	رقبا 
ama	عما
içtenliksiz	ايچدنلكسز
umman	عمان
mahcube	محجوبه
şasr	شصر
çözündürmek	چوزونديرمك
mincede	منجده
muamele etmek	معامله ايتمك
kemane çekme	كمانه چكمك
